"annotation_id","annotator","created_at","id","lead_time","sentiment","text","updated_at"
32,"1","2024-11-26T10:21:09.267598Z",71,30.955,"Depression","I just feel so numb all the time, like nothing matters anymore.","2024-12-11T04:10:40.963405Z"
33,"1","2024-11-26T10:21:16.658829Z",72,6.718,"Depression","No one really cares about me, so what's the point?","2024-11-26T10:21:16.658829Z"
34,"1","2024-11-26T10:21:25.505151Z",73,8.31,"Depression","Waking up feels like a punishment these days.","2024-11-26T10:21:25.505151Z"
35,"1","2024-11-26T10:21:40.104708Z",74,13.977,"Depression","I'm constantly exhausted, even when I haven't done anything.","2024-11-26T10:21:40.104708Z"
36,"1","2024-11-26T10:21:47.464266Z",75,9.444,"Depression","Everything I do feels meaningless, like I'm stuck in a fog.","2024-11-26T10:23:01.302582Z"
37,"1","2024-11-26T10:23:21.307154Z",76,10.646,"Depression","I hate myself for feeling this way, but I can't stop.","2024-11-26T10:23:21.307154Z"
38,"1","2024-11-26T10:23:36.095968Z",77,14.084,"Depression","I wish I could just disappear and not have to deal with life.","2024-11-26T10:23:36.095968Z"
39,"1","2024-11-26T10:23:44.330230Z",78,7.643,"Depression","I can't even remember the last time I felt happy.","2024-11-26T10:23:44.330230Z"
40,"1","2024-11-26T10:23:53.731891Z",79,8.671,"Depression","I’m tired of pretending to be okay when I’m breaking inside.","2024-11-26T10:23:53.731891Z"
41,"1","2024-11-26T10:24:00.811549Z",80,6.58,"Depression","Every day feels like a struggle I’m losing.","2024-11-26T10:24:00.811549Z"
42,"1","2024-11-26T10:24:08.123598Z",81,6.589,"Suicidal","I can't take this pain anymore; I just want it all to stop.","2024-11-26T10:24:08.123598Z"
43,"1","2024-11-26T10:24:15.088513Z",82,6.464,"Suicidal","Would anyone even notice if I were gone?","2024-11-26T10:24:15.088513Z"
44,"1","2024-11-26T10:24:22.197696Z",83,6.414,"Suicidal","Sometimes I wonder if death would be easier than living.","2024-11-26T10:24:22.197696Z"
45,"1","2024-11-26T10:24:25.236508Z",84,2.429,"Suicidal","I’ve been thinking about how it might feel to end things.","2024-11-26T10:24:25.236508Z"
46,"1","2024-11-26T10:24:27.900658Z",85,1.951,"Suicidal","There’s no escape from this misery—I don’t see the point in living.","2024-11-26T10:24:27.900658Z"
47,"1","2024-11-26T10:24:32.124112Z",86,3.767,"Suicidal","I’ve written letters just in case something happens to me.","2024-11-26T10:24:32.124112Z"
48,"1","2024-11-26T10:24:35.839701Z",87,3.019,"Suicidal","I’m scared of what I might do to myself tonight.","2024-11-26T10:24:35.839701Z"
